Station_ID,Station_Name,City,Date,PM2.5 (µg/m³),PM10 (µg/m³),NO₂ (µg/m³),SO₂ (µg/m³),CO (mg/m³),O₃ (µg/m³)
AHM01,Chandkheda,Ahmedabad,05-07-2023,33.55,58.18,0.23,4.29,0.7,6.33
AHM01,Chandkheda,Ahmedabad,06-07-2023,26.92,47.1,0.22,4.13,0.7,11.89
AHM01,Chandkheda,Ahmedabad,07-07-2023,28.59,48.13,0.18,4.39,0.7,7.3
AHM01,Chandkheda,Ahmedabad,08-07-2023,20.86,36.04,0.18,4.29,0.7,6.86
AHM01,Chandkheda,Ahmedabad,09-07-2023,12.05,20.61,0.15,4.25,0.7,7.82
AHM01,Chandkheda,Ahmedabad,10-07-2023,41.3,68.16,0.17,4.23,0.7,5.09
AHM01,Chandkheda,Ahmedabad,11-07-2023,50.42,95.2,1.67,4.32,0.7,5.11
AHM01,Chandkheda,Ahmedabad,12-07-2023,55.84,91.18,7.15,4.34,0.7,5.04
AHM01,Chandkheda,Ahmedabad,13-07-2023,55.41,90.99,7.06,4.87,1.69,4.58
AHM01,Chandkheda,Ahmedabad,14-07-2023,50.24,82.09,5.62,4.2,4.2,4.87
AHM01,Chandkheda,Ahmedabad,15-07-2023,39.78,66.79,5.54,4.23,3.99,5.81
AHM01,Chandkheda,Ahmedabad,16-07-2023,38.04,62.99,5.28,4.4,3.89,6.57
AHM01,Chandkheda,Ahmedabad,17-07-2023,45.82,76.81,6.07,4.21,2.46,7.15
AHM01,Chandkheda,Ahmedabad,18-07-2023,45.04,74.04,7.26,4.23,1.52,7.04
AHM01,Chandkheda,Ahmedabad,19-07-2023,41.13,68.61,7.04,4.42,1.68,6.55
AHM01,Chandkheda,Ahmedabad,20-07-2023,32.37,56.95,6.69,4.04,1.74,10.78
AHM01,Chandkheda,Ahmedabad,21-07-2023,32.13,54.71,6.03,4.1,2.07,8.19
AHM01,Chandkheda,Ahmedabad,22-07-2023,31.26,52.73,5.66,4.39,2.03,6.85
AHM01,Chandkheda,Ahmedabad,23-07-2023,22.13,38.68,5.55,4,2.09,7.35
AHM01,Chandkheda,Ahmedabad,24-07-2023,14.24,26.22,5.08,4.1,2.06,6.21
AHM01,Chandkheda,Ahmedabad,25-07-2023,15.25,27.05,4.82,4.57,1.91,5.81
AHM01,Chandkheda,Ahmedabad,26-07-2023,23.4,40.52,4.64,4.38,1.89,5.95
AHM01,Chandkheda,Ahmedabad,27-07-2023,30.81,50.93,4.45,4.04,1.97,5.06
AHM01,Chandkheda,Ahmedabad,28-07-2023,27.97,48.08,4.15,4.4,2.05,4.33
AHM01,Chandkheda,Ahmedabad,29-07-2023,20.92,37.04,4,4.28,2.12,3.87
AHM01,Chandkheda,Ahmedabad,30-07-2023,19.02,45.63,4.05,4,2.01,3.81
AHM01,Chandkheda,Ahmedabad,31-07-2023,20.71,36.15,4.01,4.1,1.91,3.58
AHM01,Chandkheda,Ahmedabad,01-08-2023,18.37,32.12,3.91,4.25,1.71,3.54
AHM01,Chandkheda,Ahmedabad,02-08-2023,24.53,43.21,NaN,3.98,1.6,3.35
AHM01,Chandkheda,Ahmedabad,03-08-2023,30.61,53.14,NaN,4.17,1.18,3.5
AHM01,Chandkheda,Ahmedabad,04-08-2023,32.1,56.26,NaN,4.39,0.37,3.26
AHM01,Chandkheda,Ahmedabad,05-08-2023,31.98,54.93,NaN,4.11,0.38,3.43
AHM01,Chandkheda,Ahmedabad,06-08-2023,35.46,61.94,NaN,4.09,0.35,3.2
AHM01,Chandkheda,Ahmedabad,07-08-2023,34.99,60.37,NaN,4.31,0.36,3.9
